월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas,비용_zscore,비용_grade,노출_zscore,노출_grade,클릭_zscore,클릭_grade,전환수_zscore,전환수_grade,전환값_zscore,전환값_grade,ctr_zscore,ctr_grade,cpc_zscore,cpc_grade,cpa_zscore,cpa_grade,cvr_zscore,cvr_grade,roas_zscore,roas_grade
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,307743.0,26585.0,422.0,23.0,547427.0,1.59,729.0,13380.0,5.45,178.0,4.19,상,5.34,상,4.95,상,5.21,상,3.77,상,-0.11,중,-0.03,중,0.47,중,0.1,중,0.02,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 나경 자막 뿌꾸,4384.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,중,-0.44,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 애기 더빙,305470.0,23738.0,318.0,18.0,595290.0,1.34,961.0,16971.0,5.66,195.0,4.15,상,4.72,상,3.6,상,3.98,상,4.14,상,-0.18,중,0.25,중,0.75,중,0.12,중,0.04,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,영상 화이트톤 더빙,106302.0,6909.0,135.0,6.0,158560.0,1.95,787.0,17717.0,4.44,149.0,1.11,상,1.03,상,1.23,상,1.02,상,0.76,중,-0.01,중,0.04,중,0.81,중,0.01,중,-0.02,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-09-25,10458.0,1184.0,10.0,2.0,35600.0,0.84,1046.0,5229.0,20.0,340.0,-0.35,중,-0.23,중,-0.39,중,0.04,중,-0.19,중,-0.31,중,0.36,중,-0.16,중,1.38,상,0.22,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25,3665.0,319.0,5.0,0.0,0.0,1.57,733.0,0.0,0.0,0.0,-0.46,중,-0.42,중,-0.46,중,-0.46,중,-0.46,중,-0.11,중,-0.02,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -노랑,2323.0,208.0,1.0,0.0,0.0,0.48,2323.0,0.0,0.0,0.0,-0.48,중,-0.44,중,-0.51,중,-0.46,중,-0.46,중,-0.41,중,1.91,상,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -초록,15669.0,1345.0,13.0,1.0,17800.0,0.97,1205.0,15669.0,7.69,114.0,-0.27,중,-0.19,중,-0.35,중,-0.21,중,-0.32,중,-0.28,중,0.55,중,0.65,중,0.3,중,-0.06,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,이미지 24-11-25 -파랑,8341.0,497.0,7.0,0.0,0.0,1.41,1192.0,0.0,0.0,0.0,-0.38,중,-0.38,중,-0.43,중,-0.46,중,-0.46,중,-0.16,중,0.54,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상 3,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 영상4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 이미지,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,네이쳐 이미지 2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
