Day,funnel,Total users,New users,Returning users,New user %
2025-08-05,기타,597,0,597,0.0
2025-08-05,유입,1487,439,1048,29.52252858103564
2025-08-05,활동,563,0,563,0.0
2025-08-06,구매완료,1,0,1,0.0
2025-08-06,기타,490,0,490,0.0
2025-08-06,유입,1204,367,837,30.481727574750835
2025-08-06,활동,466,0,466,0.0
2025-08-07,구매완료,1,0,1,0.0
2025-08-07,기타,486,0,486,0.0
2025-08-07,유입,1162,338,824,29.08777969018933
2025-08-07,활동,443,0,443,0.0
2025-08-08,구매완료,3,0,3,0.0
2025-08-08,기타,527,0,527,0.0
2025-08-08,유입,1217,359,858,29.4987674609696
2025-08-08,활동,462,0,462,0.0
2025-08-09,구매완료,3,0,3,0.0
2025-08-09,기타,493,0,493,0.0
2025-08-09,유입,1240,386,854,31.129032258064516
2025-08-09,활동,450,0,450,0.0
2025-08-10,구매완료,1,0,1,0.0
2025-08-10,기타,463,0,463,0.0
2025-08-10,유입,1162,341,821,29.345955249569705
2025-08-10,활동,452,0,452,0.0
2025-08-11,구매완료,3,0,3,0.0
2025-08-11,기타,550,0,550,0.0
2025-08-11,유입,1336,380,956,28.443113772455092
2025-08-11,활동,545,0,545,0.0
2025-08-12,구매완료,1,0,1,0.0
2025-08-12,기타,1207,0,1207,0.0
2025-08-12,유입,3242,985,2257,30.38247995064775
2025-08-12,활동,1219,0,1219,0.0
2025-08-13,구매완료,2,0,2,0.0
2025-08-13,기타,1223,0,1223,0.0
2025-08-13,유입,3278,967,2311,29.49969493593655
2025-08-13,활동,1190,0,1190,0.0
2025-08-14,구매완료,6,0,6,0.0
2025-08-14,기타,1084,0,1084,0.0
2025-08-14,유입,2660,712,1948,26.766917293233085
2025-08-14,활동,1074,0,1074,0.0
2025-08-15,구매완료,1,0,1,0.0
2025-08-15,기타,572,0,572,0.0
2025-08-15,유입,1426,381,1045,26.718092566619916
2025-08-15,활동,563,0,563,0.0
2025-08-16,구매완료,2,0,2,0.0
2025-08-16,기타,521,0,521,0.0
2025-08-16,유입,1284,365,919,28.426791277258566
2025-08-16,활동,513,0,513,0.0
2025-08-17,기타,537,0,537,0.0
2025-08-17,유입,1412,412,1000,29.178470254957507
2025-08-17,활동,570,0,570,0.0
2025-08-18,구매완료,2,0,2,0.0
2025-08-18,기타,515,0,515,0.0
2025-08-18,유입,1219,329,890,26.989335520918782
2025-08-18,활동,517,0,517,0.0
2025-08-19,구매완료,2,0,2,0.0
2025-08-19,기타,561,0,561,0.0
2025-08-19,유입,1363,365,998,26.77916360968452
2025-08-19,활동,552,0,552,0.0
2025-08-20,구매완료,2,0,2,0.0
2025-08-20,기타,551,0,551,0.0
2025-08-20,유입,1357,374,983,27.560795873249816
2025-08-20,활동,537,0,537,0.0
2025-08-21,구매완료,3,0,3,0.0
2025-08-21,기타,598,0,598,0.0
2025-08-21,유입,1434,386,1048,26.917712691771268
2025-08-21,활동,593,0,593,0.0
2025-08-22,기타,763,0,763,0.0
2025-08-22,유입,1914,530,1384,27.69070010449321
2025-08-22,활동,751,0,751,0.0
2025-08-23,구매완료,3,0,3,0.0
2025-08-23,기타,913,0,913,0.0
2025-08-23,유입,2388,661,1727,27.68006700167504
2025-08-23,활동,941,0,941,0.0
2025-08-24,구매완료,2,0,2,0.0
2025-08-24,기타,679,0,679,0.0
2025-08-24,유입,1740,469,1271,26.95402298850575
2025-08-24,활동,682,0,682,0.0
2025-08-25,구매완료,3,0,3,0.0
2025-08-25,기타,601,0,601,0.0
2025-08-25,유입,1426,371,1055,26.016830294530152
2025-08-25,활동,595,0,595,0.0
2025-08-26,구매완료,5,0,5,0.0
2025-08-26,기타,1326,0,1326,0.0
2025-08-26,유입,3456,966,2490,27.95138888888889
2025-08-26,활동,1354,0,1354,0.0
2025-08-27,구매완료,1,0,1,0.0
2025-08-27,기타,1203,0,1203,0.0
2025-08-27,유입,3117,815,2302,26.146936156560795
2025-08-27,활동,1235,0,1235,0.0
2025-08-28,구매완료,3,0,3,0.0
2025-08-28,기타,679,0,679,0.0
2025-08-28,유입,1660,422,1238,25.421686746987955
2025-08-28,활동,683,0,683,0.0
2025-08-29,구매완료,1,0,1,0.0
2025-08-29,기타,553,0,553,0.0
2025-08-29,유입,1338,359,979,26.831091180866967
2025-08-29,활동,552,0,552,0.0
2025-08-30,기타,672,0,672,0.0
2025-08-30,유입,1612,400,1212,24.81389578163772
2025-08-30,활동,662,0,662,0.0
2025-08-31,구매완료,2,0,2,0.0
2025-08-31,기타,717,0,717,0.0
2025-08-31,유입,1751,463,1288,26.442033123929182
2025-08-31,활동,709,0,709,0.0
2025-09-01,구매완료,6,0,6,0.0
