월,주,일,광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,성별_통합,유형구분_통합
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_테스트5,Female,구분필요,-,기타,기타,기타,1868,183,7.0,0,0,0.0,0.0,266.85714285714283,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_테스트5,Male,구분필요,-,기타,기타,기타,4046,154,4.0,0,0,0.0,0.0,1011.5,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_테스트5,Unknown,구분필요,-,기타,기타,기타,79,4,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_폴더영상,Female,구분필요,-,기타,기타,기타,1625,27,3.0,0,0,0.0,0.0,541.6666666666666,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_폴더영상,Male,구분필요,-,기타,기타,기타,2708,74,3.0,1,671875,24810.745937961598,2708.0,902.6666666666666,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_폴더영상,Unknown,구분필요,-,기타,기타,기타,119,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,1158,36,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,7133,131,3.0,0,0,0.0,0.0,2377.6666666666665,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,[GM]241121_프라이싱_2_신디자인,Unknown,구분필요,-,기타,기타,기타,283,4,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_검색기록,Female,구분필요,-,기타,기타,기타,1966,31,1.0,0,0,0.0,0.0,1966.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_검색기록,Male,구분필요,-,기타,기타,기타,2820,62,1.0,0,0,0.0,0.0,2820.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_검색기록,Unknown,구분필요,-,기타,기타,기타,89,3,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_기프티콘,Female,구분필요,-,기타,기타,기타,1338,21,1.0,0,0,0.0,0.0,1338.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_기프티콘,Male,구분필요,-,기타,기타,기타,3476,78,3.0,0,0,0.0,0.0,1158.6666666666667,남성,전환
