월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas,비용_zscore,비용_grade,노출_zscore,노출_grade,클릭_zscore,클릭_grade,전환수_zscore,전환수_grade,전환값_zscore,전환값_grade,ctr_zscore,ctr_grade,cpc_zscore,cpc_grade,cpa_zscore,cpa_grade,cvr_zscore,cvr_grade,roas_zscore,roas_grade
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-24,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,21601,1565,84,1,166600,5.37,257.0,21601.0,1.19,771.0,1.35,상,1.08,상,0.86,중,0.47,중,0.53,중,0.29,중,-0.19,중,3.17,상,-0.05,중,0.04,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-24,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,11943,696,40,1,166600,5.75,299.0,11943.0,2.5,1395.0,0.43,중,0.15,중,0.14,중,0.47,중,0.53,중,0.37,중,-0.1,중,1.6,상,0.07,중,0.2,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-25,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,22157,1712,76,3,499800,4.44,292.0,7386.0,3.95,2256.0,1.4,상,1.24,상,0.73,중,2.1,상,2.21,상,0.08,중,-0.11,중,0.86,중,0.2,중,0.42,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-25,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,11477,650,26,0,0,4.0,441.0,0.0,0.0,0.0,0.38,중,0.1,중,-0.08,중,-0.34,중,-0.31,중,-0.02,중,0.24,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-26,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,22972,1696,60,1,166600,3.54,383.0,22972.0,1.67,725.0,1.48,상,1.22,상,0.47,중,0.47,중,0.53,중,-0.13,중,0.1,중,3.39,상,-0.01,중,0.03,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-26,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,27,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.71,중,-0.59,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-26,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,9133,485,26,0,0,5.36,351.0,0.0,0.0,0.0,0.16,중,-0.07,중,-0.08,중,-0.34,중,-0.31,중,0.29,중,0.03,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-27,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,31742,2359,114,3,499800,4.83,278.0,10581.0,2.63,1575.0,2.31,상,1.93,상,1.35,상,2.1,상,2.21,상,0.17,중,-0.15,중,1.38,상,0.08,중,0.25,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-27,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,51,5,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.7,중,-0.59,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 24,앳드맹,기타,파트너쉽,메타_전환,2025-02-27,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,9570,556,30,1,166600,5.4,319.0,9570.0,3.33,1741.0,0.2,중,0.0,중,-0.02,중,0.47,중,0.53,중,0.29,중,-0.05,중,1.21,상,0.14,중,0.29,중
