월,주,일,광고세트,기기플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기플랫폼_통합,유형구분_통합
2025-11,2025-11-03/2025-11-09,2025-11-09,리타겟팅,Mobile app,메타_트래픽,리타겟팅,기타,전제품,기타,1.15,207,13,0,0.0,0.0,0.0,0.08846153846153845,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.0,1,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,11.6,1335,33,0,0.0,0.0,0.0,0.3515151515151515,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.02,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,메타-전환-안토메-25FW컬렉션-어드밴티지,Uncategorized,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.0,0,0,0,0.0,0.0,0.0,0.0,Uncategorized,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.02,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,10.83,1743,35,0,0.0,0.0,0.0,0.30942857142857144,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.03,7,1,0,0.0,0.0,0.0,0.03,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,8.68,848,52,1,109.11,1257.0276497695852,8.68,0.16692307692307692,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.01,4,1,0,0.0,0.0,0.0,0.01,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-09,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,12.03,2492,126,0,0.0,0.0,0.0,0.09547619047619046,앱,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-10,리타겟팅,Mobile app,메타_트래픽,리타겟팅,기타,전제품,기타,1.25,169,9,0,0.0,0.0,0.0,0.1388888888888889,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.04,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,10.28,901,31,1,66.08,642.8015564202335,10.28,0.33161290322580644,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.03,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,메타-전환-안토메-25FW컬렉션-어드밴티지,Uncategorized,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.0,0,0,0,0.0,0.0,0.0,0.0,Uncategorized,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.03,5,1,0,0.0,0.0,0.0,0.03,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,11.09,1212,19,0,0.0,0.0,0.0,0.5836842105263158,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.02,3,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,8.9,744,37,1,18.1,203.3707865168539,8.9,0.24054054054054055,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.01,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,어드밴티지 설정,Uncategorized,메타_전환,타겟팅,기타,전제품,기타,0.0,0,0,0,0.0,0.0,0.0,0.0,Uncategorized,전환
2025-11,2025-11-10/2025-11-16,2025-11-10,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,10.55,1986,115,0,0.0,0.0,0.0,0.09173913043478261,앱,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-10,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile web,메타_트래픽,타겟팅,기타,전제품,기타,0.0,1,0,0,0.0,0.0,0.0,0.0,모바일웹,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-11,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,10.52,849,14,0,0.0,0.0,0.0,0.7514285714285714,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-11,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.06,8,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-11,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,10.35,1316,38,2,223.22,2156.7149758454107,5.175,0.2723684210526316,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-11,메타-전환-안토메-25컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,기타,0.0,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-11,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.01,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-11,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,8.34,580,27,0,0.0,0.0,0.0,0.3088888888888889,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-11,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.01,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-11,추천 설정이 적용된 새로운 트래픽 광고 세트,Desktop,메타_트래픽,타겟팅,기타,전제품,기타,0.01,1,0,0,0.0,0.0,0.0,0.0,웹,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-11,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,11.82,2058,103,0,0.0,0.0,0.0,0.11475728155339807,앱,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-12,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.05,6,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,9.08,876,18,0,0.0,0.0,0.0,0.5044444444444445,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.01,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.03,5,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,8.91,1323,31,1,110.92,1244.8933782267115,8.91,0.2874193548387097,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,메타-전환-안토메-25컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,기타,0.01,3,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.05,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,7.59,654,30,0,0.0,0.0,0.0,0.253,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-12,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,7.34,1299,60,0,0.0,0.0,0.0,0.12233333333333334,앱,트래픽
2025-11,2025-11-10/2025-11-16,2025-11-13,리타겟팅,Mobile app,메타_트래픽,리타겟팅,기타,전제품,기타,0.0,0,0,0,0.0,0.0,0.0,0.0,앱,전환
2025-11,2025-11-10/2025-11-16,2025-11-13,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.02,3,0,0,0.0,0.0,0.0,0.0,웹,전환
