광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
3.웨트오일-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,3344.0,124.0,3.0,0.0,0.0,0.0,0.0
3.웨트오일-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,6039.0,74.0,5.0,1.0,28000.0,463.6529226693161,6039.0
3.웨트오일-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,4565.0,234.0,3.0,0.0,0.0,0.0,0.0
3.제네릭-서브-MO-스스 3위 1200원,남성,네이버_파워링크,타겟팅,기존제품,기타,기타,1265.0,435.0,1.0,0.0,0.0,0.0,0.0
3.제네릭-서브-MO-스스 3위 1200원,알 수 없음,네이버_파워링크,타겟팅,기존제품,기타,기타,0.0,415.0,0.0,0.0,0.0,0.0,0.0
3.제네릭-서브-MO-스스 3위 1200원,여성,네이버_파워링크,타겟팅,기존제품,기타,기타,2453.0,789.0,3.0,0.0,0.0,0.0,0.0
3.제네릭-서브-PC-스스 4위 1200원,남성,네이버_파워링크,타겟팅,기존제품,기타,기타,0.0,326.0,0.0,0.0,0.0,0.0,0.0
3.제네릭-서브-PC-스스 4위 1200원,알 수 없음,네이버_파워링크,타겟팅,기존제품,기타,기타,0.0,187.0,0.0,0.0,0.0,0.0,0.0
3.제네릭-서브-PC-스스 4위 1200원,여성,네이버_파워링크,타겟팅,기존제품,기타,기타,2200.0,175.0,2.0,0.0,0.0,0.0,0.0
3.헤어에센스-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,103191.0,3959.0,28.0,3.0,84930.0,82.30368927522748,34397.0
3.헤어에센스-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,160083.0,94163.0,45.0,0.0,0.0,0.0,0.0
3.헤어에센스-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,529100.0,14735.0,186.0,18.0,466250.0,88.12133812133813,29394.444444444445
3.헤어에센스-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4. 워터 트리트먼트-M,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,5225.0,116.0,2.0,0.0,0.0,0.0,0.0
4. 워터 트리트먼트-M,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,13805.0,4409.0,5.0,0.0,0.0,0.0,0.0
4. 워터 트리트먼트-M,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,63701.0,890.0,25.0,1.0,23000.0,36.10618357639597,63701.0
4. 워터 트리트먼트-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4. 워터 트리트먼트-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,11.0,0.0,0.0,0.0,0.0,0.0
4. 워터 트리트먼트-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4.더마티컬_MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,54395.0,3448.0,16.0,0.0,0.0,0.0,0.0
4.더마티컬_MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,36410.0,1477.0,10.0,0.0,0.0,0.0,0.0
4.더마티컬_MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,282491.0,5714.0,95.0,2.0,44320.0,15.688995401623416,141245.5
4.더마티컬_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,266.0,0.0,0.0,0.0,0.0,0.0
4.더마티컬_PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,190.0,0.0,0.0,0.0,0.0,0.0
4.더마티컬_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,232.0,0.0,0.0,0.0,0.0,0.0
4.사기헤어오일-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,37114.0,522.0,17.0,2.0,42930.0,115.67063641752438,18557.0
4.사기헤어오일-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,85503.0,35514.0,34.0,0.0,0.0,0.0,0.0
