광고세트,연령,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
사라음성,18-24,Female,메타_전환,타겟팅,기존제품,기타,기타,214825.0,20618,268.0,14.0,391300.0,182.1482602118003,15344.642857142857
사라음성,18-24,Male,메타_전환,타겟팅,기존제품,기타,기타,86133.0,9770,78.0,7.0,194000.0,225.23306978742175,12304.714285714286
사라음성,18-24,Unknown,메타_전환,타겟팅,기존제품,기타,기타,1763.0,107,4.0,0.0,0.0,0.0,0.0
사라음성,25-34,Female,메타_전환,타겟팅,기존제품,기타,기타,4883373.0,352889,4853.0,309.0,9872763.0,202.17097895245763,15803.796116504855
사라음성,25-34,Male,메타_전환,타겟팅,기존제품,기타,기타,1627805.0,132218,1402.0,111.0,3219637.0,197.7900915650216,14664.90990990991
사라음성,25-34,Unknown,메타_전환,타겟팅,기존제품,기타,기타,8867.0,659,6.0,0.0,0.0,0.0,0.0
사라음성,35-44,Female,메타_전환,타겟팅,기존제품,기타,기타,8246769.0,425292,7170.0,505.0,16433567.0,199.27279398756045,16330.235643564356
사라음성,35-44,Male,메타_전환,타겟팅,기존제품,기타,기타,1764588.0,108399,1477.0,110.0,3501522.0,198.43283531339893,16041.709090909091
사라음성,35-44,Unknown,메타_전환,타겟팅,기존제품,기타,기타,20429.0,978,22.0,1.0,14800.0,72.44603260071467,20429.0
사라음성,45-54,Female,메타_전환,타겟팅,기존제품,기타,기타,2728755.0,98332,2176.0,148.0,5369200.0,196.76372558181293,18437.533783783783
사라음성,45-54,Male,메타_전환,타겟팅,기존제품,기타,기타,419446.0,17487,332.0,29.0,997500.0,237.81368757837717,14463.655172413793
사라음성,45-54,Unknown,메타_전환,타겟팅,기존제품,기타,기타,10240.0,355,10.0,0.0,0.0,0.0,0.0
사라음성,55-64,Female,메타_전환,타겟팅,기존제품,기타,기타,367422.0,10244,359.0,19.0,746000.0,203.0362906957123,19338.0
사라음성,55-64,Male,메타_전환,타겟팅,기존제품,기타,기타,57518.0,1783,40.0,3.0,141200.0,245.4883688584443,19172.666666666668
사라음성,55-64,Unknown,메타_전환,타겟팅,기존제품,기타,기타,2411.0,57,2.0,1.0,54400.0,2256.3251762754044,2411.0
사라음성,65+,Female,메타_전환,타겟팅,기존제품,기타,기타,41493.0,1408,45.0,1.0,51400.0,123.8763164871183,41493.0
사라음성,65+,Male,메타_전환,타겟팅,기존제품,기타,기타,12717.0,623,7.0,1.0,11800.0,92.78917983801212,12717.0
사라음성,65+,Unknown,메타_전환,타겟팅,기존제품,기타,기타,192.0,10,0.0,0.0,0.0,0.0,0.0
사라음성,Unknown,Unknown,메타_전환,타겟팅,기존제품,기타,기타,0.0,0,0.0,1.0,34183.0,0.0,0.0
새 참여 광고 세트,18-24,Female,메타_도달,타겟팅,기존제품,기타,기타,56218.0,3086,2.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,18-24,Male,메타_도달,타겟팅,기존제품,기타,기타,5837.0,214,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,18-24,Unknown,메타_도달,타겟팅,기존제품,기타,기타,83.0,7,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,25-34,Female,메타_도달,타겟팅,기존제품,기타,기타,52844.0,2303,1.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,25-34,Male,메타_도달,타겟팅,기존제품,기타,기타,5804.0,184,1.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,25-34,Unknown,메타_도달,타겟팅,기존제품,기타,기타,55.0,6,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,35-44,Female,메타_도달,타겟팅,기존제품,기타,기타,49880.0,1344,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,35-44,Male,메타_도달,타겟팅,기존제품,기타,기타,6187.0,129,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,35-44,Unknown,메타_도달,타겟팅,기존제품,기타,기타,85.0,2,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,45-54,Female,메타_도달,타겟팅,기존제품,기타,기타,32377.0,696,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,45-54,Male,메타_도달,타겟팅,기존제품,기타,기타,4481.0,93,1.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,45-54,Unknown,메타_도달,타겟팅,기존제품,기타,기타,43.0,2,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,55-64,Female,메타_도달,타겟팅,기존제품,기타,기타,12998.0,260,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,55-64,Male,메타_도달,타겟팅,기존제품,기타,기타,2071.0,55,1.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,65+,Female,메타_도달,타겟팅,기존제품,기타,기타,5683.0,144,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,65+,Male,메타_도달,타겟팅,기존제품,기타,기타,1188.0,27,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,65+,Unknown,메타_도달,타겟팅,기존제품,기타,기타,23.0,1,0.0,0.0,0.0,0.0,0.0
신제품-로브-1865,18-24,Female,메타_전환,타겟팅,신제품,목욕가운,기타,10316.0,1136,8.0,1.0,81600.0,791.0042652190772,10316.0
신제품-로브-1865,18-24,Male,메타_전환,타겟팅,신제품,목욕가운,기타,2400.0,308,3.0,0.0,0.0,0.0,0.0
신제품-로브-1865,18-24,Unknown,메타_전환,타겟팅,신제품,목욕가운,기타,15.0,4,0.0,0.0,0.0,0.0,0.0
신제품-로브-1865,25-34,Female,메타_전환,타겟팅,신제품,목욕가운,기타,47364.0,3709,55.0,0.0,0.0,0.0,0.0
신제품-로브-1865,25-34,Male,메타_전환,타겟팅,신제품,목욕가운,기타,12957.0,1223,3.0,0.0,0.0,0.0,0.0
신제품-로브-1865,25-34,Unknown,메타_전환,타겟팅,신제품,목욕가운,기타,93.0,10,0.0,0.0,0.0,0.0,0.0
신제품-로브-1865,35-44,Female,메타_전환,타겟팅,신제품,목욕가운,기타,82772.0,3784,139.0,1.0,59800.0,72.246653457691,82772.0
신제품-로브-1865,35-44,Male,메타_전환,타겟팅,신제품,목욕가운,기타,12549.0,667,14.0,0.0,0.0,0.0,0.0
