광고세트,플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
신제품-토마토앞치마-1865,Audience Network,메타_전환,타겟팅,신제품,발매트,기타,1168.0,85.0,27.0,0.0,0.0,0.0,0.0
신제품-토마토앞치마-1865,Facebook,메타_전환,타겟팅,신제품,발매트,기타,18645.0,481.0,5.0,0.0,0.0,0.0,0.0
신제품-토마토앞치마-1865,Instagram,메타_전환,타겟팅,신제품,발매트,기타,769374.0,30364.0,601.0,27.0,955500.0,124.19187547278696,28495.333333333332
신제품-토마토앞치마-1865,Messenger,메타_전환,타겟팅,신제품,발매트,기타,3.0,1.0,0.0,0.0,0.0,0.0,0.0
신제품-토마토앞치마-1865,Uncategorized,메타_전환,타겟팅,신제품,발매트,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신제품-토마토앞치마-1865,threads,메타_전환,타겟팅,신제품,발매트,기타,311.0,88.0,2.0,0.0,0.0,0.0,0.0
신제품-패드하우스-1865,Audience Network,메타_전환,타겟팅,신제품,파우치,기타,416.0,32.0,7.0,0.0,0.0,0.0,0.0
신제품-패드하우스-1865,Facebook,메타_전환,타겟팅,신제품,파우치,기타,7316.0,565.0,9.0,0.0,0.0,0.0,0.0
신제품-패드하우스-1865,Instagram,메타_전환,타겟팅,신제품,파우치,기타,1969173.0,289369.0,5332.0,119.0,3487762.0,177.11810998830472,16547.67226890756
신제품-패드하우스-1865,Uncategorized,메타_전환,타겟팅,신제품,파우치,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신제품-패드하우스-1865,threads,메타_전환,타겟팅,신제품,파우치,기타,50.0,18.0,0.0,0.0,0.0,0.0,0.0
신제품-홀리데이_오버핏_파자마-1865,Audience Network,메타_전환,타겟팅,신제품,파자마,기타,5427.0,370.0,85.0,0.0,0.0,0.0,0.0
신제품-홀리데이_오버핏_파자마-1865,Facebook,메타_전환,타겟팅,신제품,파자마,기타,19811.0,505.0,5.0,0.0,0.0,0.0,0.0
신제품-홀리데이_오버핏_파자마-1865,Instagram,메타_전환,타겟팅,신제품,파자마,기타,754009.0,27583.0,781.0,26.0,1800800.0,238.83004049023288,29000.346153846152
신제품-홀리데이_오버핏_파자마-1865,Uncategorized,메타_전환,타겟팅,신제품,파자마,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신제품-홀리데이_오버핏_파자마-1865,threads,메타_전환,타겟팅,신제품,파자마,기타,655.0,123.0,2.0,0.0,0.0,0.0,0.0
앞치마 콘텐츠조회,Audience Network,메타_전환,타겟팅,기존제품,앞치마,기타,3214.0,964.0,28.0,0.0,0.0,0.0,0.0
앞치마 콘텐츠조회,Facebook,메타_전환,타겟팅,기존제품,앞치마,기타,6482.0,4501.0,34.0,0.0,0.0,0.0,0.0
앞치마 콘텐츠조회,Instagram,메타_전환,타겟팅,기존제품,앞치마,기타,433869.0,79556.0,2683.0,8.0,258800.0,59.649341160580725,54233.625
앞치마 콘텐츠조회,Messenger,메타_전환,타겟팅,기존제품,앞치마,기타,6.0,38.0,0.0,0.0,0.0,0.0,0.0
앞치마 콘텐츠조회,Uncategorized,메타_전환,타겟팅,기존제품,앞치마,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
앞치마 콘텐츠조회,threads,메타_전환,타겟팅,기존제품,앞치마,기타,4926.0,3993.0,69.0,0.0,0.0,0.0,0.0
