브랜드명,상품명,프로모션,유형구분,날짜,목표,캠페인,광고세트,소재이름,비용,노출,클릭,전환수,전환값,타겟팅 구분
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -파랑,9746,719,11,1,28600,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 1,23,4,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 2,6,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 3,64,3,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상4,43,5,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 이미지,79,18,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 이미지 2,13,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상1,2,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상2,35,12,2,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상3,0,1,0,0,0,타겟팅
