월,주,일,광고세트,연령,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,연령_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,55-64,구분필요,-,기타,기타,기타,946,29,2.0,0,0,0.0,0.0,473.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,65+,구분필요,-,기타,기타,기타,650,23,1.0,0,0,0.0,0.0,650.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,18-24,구분필요,-,기타,기타,기타,1617,12,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,25-34,구분필요,-,기타,기타,기타,1601,42,2.0,0,0,0.0,0.0,800.5,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,35-44,구분필요,-,기타,기타,기타,2506,30,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,45-54,구분필요,-,기타,기타,기타,2222,11,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,55-64,구분필요,-,기타,기타,기타,583,3,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,[GM]241121_프라이싱_2_신디자인,65+,구분필요,-,기타,기타,기타,736,4,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,18-24,구분필요,-,기타,기타,기타,348,12,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,25-34,구분필요,-,기타,기타,기타,2047,57,2.0,0,0,0.0,0.0,1023.5,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,35-44,구분필요,-,기타,기타,기타,925,17,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,45-54,구분필요,-,기타,기타,기타,201,4,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241202_uiux db수집,65+,구분필요,-,기타,기타,기타,463,3,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,18-24,구분필요,-,기타,기타,기타,93,12,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,25-34,구분필요,-,기타,기타,기타,3274,56,1.0,0,0,0.0,0.0,3274.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,35-44,구분필요,-,기타,기타,기타,3527,48,1.0,0,0,0.0,0.0,3527.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,45-54,구분필요,-,기타,기타,기타,1160,22,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,55-64,구분필요,-,기타,기타,기타,263,11,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241220_문어발전단지,65+,구분필요,-,기타,기타,기타,186,4,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,18-24,구분필요,-,기타,기타,기타,9,1,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,25-34,구분필요,-,기타,기타,기타,964,20,0.0,0,0,0.0,0.0,0.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,35-44,구분필요,-,기타,기타,기타,350,10,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,45-54,구분필요,-,기타,기타,기타,278,9,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,55-64,구분필요,-,기타,기타,기타,183,6,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,241227_메뉴판,65+,구분필요,-,기타,기타,기타,116,3,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
